您未订购直播,#genre#
订购直播联系,https://vd3.bdstatic.com/mda-ii00rzrptt9e56yf/sc/mda-ii00rzrptt9e56yf.mp4
QQ:912699213,https://vd3.bdstatic.com/mda-jfsre2z1s4xk012w/sc/mda-jfsre2z1s4xk012w.mp4
订购直播联系,#genre#
dj舞曲女人版,https://vd3.bdstatic.com/mda-mkp88kxv6r8y73k9/sc/cae_h264/1637733263867775329/mda-mkp88kxv6r8y73k9.mp4
QQ:912699213,#genre#
潇洒的走DJ动感节奏,https://vd4.bdstatic.com/mda-kgirfiwxg342z9d8/v1-cae/sc/mda-kgirfiwxg342z9d8.mp4
央视频道,#genre#
CCTV1,http://110.42.37.69:6688/live/live.php?token=I7HrgnJ3nH&id=cctv1
CCTV2财经,http://110.42.37.69:6688/live/live.php?token=I7HrgnJ3nH&id=cctv2
CCTV3综艺,http://110.42.37.69:6688/live/live.php?token=I7HrgnJ3nH&id=cctv3
CCTV4中文国际,http://110.42.37.69:6688/live/live.php?token=I7HrgnJ3nH&id=cctv4
CCTV5体育,http://110.42.37.69:6688/live/live.php?token=I7HrgnJ3nH&id=cctv5
CCTV5+体育赛事,http://110.42.37.69:6688/live/live.php?token=I7HrgnJ3nH&id=cctv5p
CCTV6电影,http://110.42.37.69:6688/live/live.php?token=I7HrgnJ3nH&id=cctv6
CCTV7国防军事,http://110.42.37.69:6688/live/live.php?token=I7HrgnJ3nH&id=cctv7
CCTV8电视剧,http://110.42.37.69:6688/live/live.php?token=I7HrgnJ3nH&id=cctv8
CCTV9纪录,http://110.42.37.69:6688/live/live.php?token=I7HrgnJ3nH&id=cctv9
CCTV10科教,http://110.42.37.69:6688/live/live.php?token=I7HrgnJ3nH&id=cctv10
CCTV11戏曲,http://110.42.37.69:6688/live/live.php?token=I7HrgnJ3nH&id=cctv11
CCTV12社会与法,http://110.42.37.69:6688/live/live.php?token=I7HrgnJ3nH&id=cctv12
CCTV13新闻,http://110.42.37.69:6688/live/live.php?token=I7HrgnJ3nH&id=cctv13
CCTV14少儿,http://110.42.37.69:6688/live/live.php?token=I7HrgnJ3nH&id=cctv14
CCTV15音乐,http://110.42.37.69:6688/live/live.php?token=I7HrgnJ3nH&id=cctv15
CCTV16奥林匹克,http://110.42.37.69:6688/live/live.php?token=I7HrgnJ3nH&id=cctv16
CCTV17农业农村,http://110.42.37.69:6688/live/live.php?token=I7HrgnJ3nH&id=cctv17
CCTV4欧洲,http://110.42.37.69:6688/live/live.php?token=I7HrgnJ3nH&id=cctv4oz
CCTV4美洲,http://110.42.37.69:6688/live/live.php?token=I7HrgnJ3nH&id=cctv4mz
CGTN外语记录,http://110.42.37.69:6688/live/live.php?token=I7HrgnJ3nH&id=cgtnwyjl
CGTN阿拉伯语,http://110.42.37.69:6688/live/live.php?token=I7HrgnJ3nH&id=cgtnalby
CGTN西班牙语,http://110.42.37.69:6688/live/live.php?token=I7HrgnJ3nH&id=cgtnxbyy
CGTN法语,http://110.42.37.69:6688/live/live.php?token=I7HrgnJ3nH&id=cgtnfy
CGTN俄语,http://110.42.37.69:6688/live/live.php?token=I7HrgnJ3nH&id=cgtney
CGTN,http://110.42.37.69:6688/live/live.php?token=I7HrgnJ3nH&id=cgtn
卫视频道,#genre#
浙江卫视,http://110.42.37.69:6688/live/live.php?token=I7HrgnJ3nH&id=zjws
北京卫视,http://110.42.37.69:6688/live/live.php?token=I7HrgnJ3nH&id=bjws
东方卫视,http://110.42.37.69:6688/live/live.php?token=I7HrgnJ3nH&id=dfws
江苏卫视,http://110.42.37.69:6688/live/live.php?token=I7HrgnJ3nH&id=jsws
广东卫视,http://110.42.37.69:6688/live/live.php?token=I7HrgnJ3nH&id=gdws
江西卫视,http://110.42.37.69:6688/live/live.php?token=I7HrgnJ3nH&id=jxws
河南卫视,http://110.42.37.69:6688/live/live.php?token=I7HrgnJ3nH&id=henws
陕西卫视,http://110.42.37.69:6688/live/live.php?token=I7HrgnJ3nH&id=shanxws
大湾区卫视,http://110.42.37.69:6688/live/live.php?token=I7HrgnJ3nH&id=dwqws
湖北卫视,http://110.42.37.69:6688/live/live.php?token=I7HrgnJ3nH&id=hubws
吉林卫视,http://110.42.37.69:6688/live/live.php?token=I7HrgnJ3nH&id=jlws
青海卫视,http://110.42.37.69:6688/live/live.php?token=I7HrgnJ3nH&id=qhws
海南卫视,http://110.42.37.69:6688/live/live.php?token=I7HrgnJ3nH&id=hainws
嘉佳卡通,http://110.42.37.69:6688/live/live.php?token=I7HrgnJ3nH&id=jjkt
优漫卡通,http://110.42.37.69:6688/live/live.php?token=I7HrgnJ3nH&id=ymkt
